level_0_index,level_0_text,level_1_index,level_1_text,level_2_index,level_2_text,country,name,declared_unit,weight [kg],volume density [kg/m3],area density [kg/m2],linear density [kg/m],penrt_b6 [MJ],gwp_b6 [kgCo2e],Source,UUID
9,Others,2,Energy carrier - delivery free user,5,Electricity,IN,Electricity,kWh,,,,,3.021578549,0.7051314,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,3,Heating oil,IN,Light fuel oil,kWh,11.72,860,,,4.73225256,0.293039766,,de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9,Others,2,Energy carrier - delivery free user,3,Heating oil,IN,Heavy fuel oil,kWh,11.75,930,,,4.106042553,0.314819748,,2efcb539-f2f6-4db4-97ae-ece46761395d
9,Others,2,Energy carrier - delivery free user,2,Liquid gas,IN,Liquefied petroleum gas (LPG),kWh,12.77777778,550,,,4.645252174,0.241955806,,ac476639-0ef2-4485-bb73-d446948eb7c6
9,Others,2,Energy carrier - delivery free user,1,natural gas,IN,Natural gas,kWh,7.92,760,,,4.356,0.264,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Coal,kWh,8.14,760,,,4.356,0.44,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Lignite,kWh,2.68,700,,,4.752,0.473,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,3,Heating oil,IN,Diesel,kWh,11.57,840,,,4.356,0.301382887,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,3,Heating oil,IN,Kerosene,kWh,11.11111111,800,,,4.356,0.31383,Source:  [Rhetors-Kerosin](https://www.rhetos.de/html/lex/kerosin.htm),
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Firewood (log wood),kWh,4.2,500,,,0.792,0.0132,"Rechnagel, T2.9.2-1",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Firewood (wood chips),kWh,4.3,230,,,0.792,0.0242,"Rechnagel, T2.9.2-1",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Firewood (wood pellets),kWh,4.9,650,,,0.792,0.033,"Rechnagel, T2.9.2-1",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,IN,Charcoal,kWh,9.027777778,350,,,0.792,0.0385,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,5,Electricity,ID,Electricity,kWh,,,,,2.896450659,0.6759309,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,3,Heating oil,ID,Light fuel oil,kWh,11.72,860,,,4.73225256,0.293039766,,de4f1273-f63f-4c2e-998c-639cb0e6e2c3
9,Others,2,Energy carrier - delivery free user,3,Heating oil,ID,Heavy fuel oil,kWh,11.75,930,,,4.106042553,0.314819748,,2efcb539-f2f6-4db4-97ae-ece46761395d
9,Others,2,Energy carrier - delivery free user,2,Liquid gas,ID,Liquefied petroleum gas (LPG),kWh,12.77777778,550,,,4.645252174,0.241955806,,ac476639-0ef2-4485-bb73-d446948eb7c6
9,Others,2,Energy carrier - delivery free user,1,natural gas,ID,Natural gas,kWh,7.92,760,,,4.356,0.264,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,ID,Coal,kWh,8.14,760,,,4.356,0.44,"GEG (German Building Energy Law, additonal data)",
9,Others,2,Energy carrier - delivery free user,10,Solid Fuel,ID,Lignite,kWh,2.68,700,,,4.752,0.473,"GEG (German Building Energy Law, additonal data)",
